activation,num_victim_seeds,direction_recovery_mean,direction_recovery_std,victim_accuracy_mean_pct,victim_accuracy_std_pct,surrogate_accuracy_mean_pct,surrogate_accuracy_std_pct,agreement_mean_pct,agreement_std_pct,structural_queries,completion_queries,total_queries
gelu,3,0.9644,0.0026,79.18,0.36,78.28,0.35,93.24,0.45,8193,12000,20193
silu,3,0.9476,0.0022,78.18,0.49,77.57,0.41,94.89,0.40,8193,12000,20193
